DSS_Major_Version,2.7,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,3.13,3.14,3.15,documentation_URL
11,partial,deprecated,deprecated,supported,supported,supported,supported,supported,partial,unsupported,unsupported,unsupported,unsupported,https://doc.dataiku.com/dss/latest/release_notes/11.html#limitations-and-warnings
12,partial,deprecated,deprecated,supported,supported,supported,supported,supported,partial,unsupported,unsupported,unsupported,unsupported,https://doc.dataiku.com/dss/latest/release_notes/12.html#limitations-and-warnings
13,deprecated,deprecated,deprecated,deprecated,deprecated,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,https://doc.dataiku.com/dss/latest/release_notes/13.html#limitations-and-warnings
14,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,supported,supported,supported,supported,supported,experimental,unsupported,https://doc.dataiku.com/dss/latest/release_notes/14.html#limitations-and-warnings
